 Formula: Cu2O                                  Feff8L (EXAFS)       0.1
 SpaceGroup: Pn-3m
 AMCSD structure 15851
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.211 Rnm= 1.414 K  shell
 Pot 1 Z= 8 Rmt= 0.923 Rnm= 1.058
 Pot 2 Z=29 Rmt= 1.188 Rnm= 1.352
  2.600  3.0893E+00  8.6301E-02 -1.5461E+01  1.151E+00  8.8332E+00  3.4224E+00
  2.800  3.0433E+00  8.4529E-02 -1.5919E+01  1.223E+00  6.8634E+00  3.5628E+00
  3.000  3.0135E+00  8.4882E-02 -1.6328E+01  1.257E+00  6.1377E+00  3.6958E+00
  3.200  2.9578E+00  8.6845E-02 -1.6619E+01  1.266E+00  5.7868E+00  3.8396E+00
  3.400  2.8914E+00  9.2561E-02 -1.6852E+01  1.267E+00  5.6299E+00  3.9891E+00
  3.600  2.8165E+00  1.0129E-01 -1.7054E+01  1.254E+00  5.5847E+00  4.1439E+00
  3.800  2.7347E+00  1.1198E-01 -1.7256E+01  1.241E+00  5.6119E+00  4.3033E+00
  4.000  2.6492E+00  1.2287E-01 -1.7460E+01  1.226E+00  5.6901E+00  4.4669E+00
  4.200  2.5614E+00  1.3211E-01 -1.7670E+01  1.206E+00  5.8064E+00  4.6342E+00
  4.400  2.4718E+00  1.3887E-01 -1.7882E+01  1.189E+00  5.9527E+00  4.8048E+00
  4.600  2.3821E+00  1.4304E-01 -1.8098E+01  1.172E+00  6.1233E+00  4.9783E+00
  4.800  2.2927E+00  1.4382E-01 -1.8313E+01  1.156E+00  6.3144E+00  5.1544E+00
  5.000  2.2028E+00  1.4235E-01 -1.8528E+01  1.140E+00  6.5231E+00  5.3328E+00
  5.200  2.1134E+00  1.3917E-01 -1.8745E+01  1.127E+00  6.7471E+00  5.5132E+00
  5.400  2.0246E+00  1.3449E-01 -1.8962E+01  1.114E+00  6.9848E+00  5.6954E+00
  5.600  1.9355E+00  1.2931E-01 -1.9178E+01  1.102E+00  7.2349E+00  5.8792E+00
  5.800  1.8464E+00  1.2399E-01 -1.9395E+01  1.091E+00  7.4963E+00  6.0644E+00
  6.000  1.7570E+00  1.1878E-01 -1.9608E+01  1.080E+00  7.7682E+00  6.2509E+00
  6.500  1.5323E+00  1.0702E-01 -2.0122E+01  1.056E+00  8.4892E+00  6.7217E+00
  7.000  1.3091E+00  9.6843E-02 -2.0606E+01  1.036E+00  9.2629E+00  7.1979E+00
  7.500  1.0934E+00  8.7974E-02 -2.1061E+01  1.018E+00  1.0083E+01  7.6782E+00
  8.000  8.9009E-01  8.0058E-02 -2.1487E+01  1.003E+00  1.0946E+01  8.1617E+00
  8.500  6.9951E-01  7.2519E-02 -2.1883E+01  9.929E-01  1.1849E+01  8.6478E+00
  9.000  5.2029E-01  6.4898E-02 -2.2247E+01  9.850E-01  1.2789E+01  9.1358E+00
  9.500  3.4148E-01  5.6992E-02 -2.2586E+01  9.765E-01  1.3763E+01  9.6255E+00
 10.000  1.6939E-01  4.9004E-02 -2.2901E+01  9.672E-01  1.4771E+01  1.0117E+01
 11.000 -1.6190E-01  3.4124E-02 -2.3455E+01  9.499E-01  1.6882E+01  1.1102E+01
 12.000 -4.6467E-01  2.2336E-02 -2.3898E+01  9.397E-01  1.9112E+01  1.2090E+01
 13.000 -7.4836E-01  1.3673E-02 -2.4201E+01  9.341E-01  2.1454E+01  1.3081E+01
 14.000 -1.0130E+00  8.6644E-03 -2.4253E+01  9.304E-01  2.3902E+01  1.4073E+01
 15.000 -1.2548E+00  7.3416E-03 -2.4188E+01  9.291E-01  2.6451E+01  1.5067E+01
 16.000 -1.4819E+00  7.5126E-03 -2.4328E+01  9.290E-01  2.9096E+01  1.6061E+01
 17.000 -1.6945E+00  7.3617E-03 -2.4630E+01  9.291E-01  3.1834E+01  1.7057E+01
 18.000 -1.8911E+00  6.7397E-03 -2.4981E+01  9.301E-01  3.4660E+01  1.8053E+01
 19.000 -2.0768E+00  5.8449E-03 -2.5325E+01  9.313E-01  3.7573E+01  1.9049E+01
 20.000 -2.2510E+00  4.8532E-03 -2.5645E+01  9.324E-01  4.0568E+01  2.0046E+01
